Model,Contamination,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
Huber,0.0,0.7584447344094588,0.0,0.515845670561454,0.0,0.5610237531143614,0.0
Huber,0.05,0.758667584190882,0.0017204839861566935,0.5172035077188126,0.0007051780503958976,0.5607635675153887,0.001991767025197392
Huber,0.1,0.7599482057522731,0.0023023939212400606,0.5189290856291231,0.0007681269553150116,0.5592777450910401,0.002672067865315355
Huber,0.2,0.7588442131030818,0.0031183340270007067,0.5208050804267843,0.0008913888562033343,0.5605540337440309,0.003616930579727946
LASSO,0.0,0.7404423656125413,0.0,0.5353261423609053,0.0,0.5816154300698728,0.0
LASSO,0.05,0.740840617530939,0.0016186709390599774,0.5354227249330691,0.002452740676938768,0.5811633143116224,0.0018314544003626553
LASSO,0.1,0.7418657425607401,0.0022228024971047526,0.5366106004952751,0.0027004716002773203,0.5800016900983637,0.002518438059990297
LASSO,0.2,0.7420574874057644,0.0030049718346974092,0.5383596443647225,0.004832327459330051,0.5797815394895272,0.003406197571378729
OLS,0.0,0.7455813830127764,0.0,0.5332001304956565,0.0,0.5757877060324508,0.0
OLS,0.05,0.7457744313393795,0.0027773738034817886,0.5333157049139934,0.0022192805447373526,0.5755623104287594,0.0031635478395534876
OLS,0.1,0.7478659687310828,0.004032630658793347,0.5349931244421863,0.0027880964101091783,0.5731720123158723,0.004610912523769938
OLS,0.2,0.7474258068661965,0.004351277067482524,0.5364957802263256,0.004726097279346377,0.5736723049537922,0.004962057845499046
Ridge,0.0,0.745556744281478,0.0,0.5331931195789734,0.0,0.5758157428913682,0.0
Ridge,0.05,0.7457502101651942,0.0027731866545206985,0.5333081787953337,0.002218840944272053,0.5755898964305852,0.003158671717857705
Ridge,0.1,0.7478378029353457,0.004025523697518225,0.534984429938048,0.002786842968615452,0.5732042030652041,0.004602594854553377
Ridge,0.2,0.7473990339825515,0.004344531837896542,0.536486930136696,0.0047229254305155444,0.5737028888953346,0.004954201946426556
